City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Ponta Do Sol,PT,32.6667,-17.1,70.72,76,82,5.68,broken clouds
131,Raudeberg,NO,61.9875,5.1352,50.67,66,41,34.27,scattered clouds
132,Kruisfontein,ZA,-34.0033,24.7314,53.55,85,73,4.47,broken clouds
133,Prieska,ZA,-29.6641,22.7474,69.31,8,100,5.53,overcast clouds
134,San Cristobal,VE,7.7669,-72.225,77.18,93,100,1.57,overcast clouds
135,Iqaluit,CA,63.7506,-68.5145,33.53,93,100,10.36,mist
136,Heinola,FI,61.2056,26.0381,52.0,98,100,10.2,overcast clouds
137,Hami,CN,42.8,93.45,51.01,32,0,7.09,clear sky
138,Krasnoselkup,RU,65.7,82.4667,32.45,94,100,6.67,overcast clouds
139,Halifax,CA,44.6453,-63.5724,59.45,90,100,14.97,overcast clouds
140,Saraland,US,30.8207,-88.0706,83.12,48,49,1.99,scattered clouds
141,Nuevitas,CU,21.5453,-77.2644,79.0,68,55,6.73,broken clouds
142,Fort Smith,US,35.3859,-94.3986,87.84,26,0,4.61,clear sky
143,Chuy,UY,-33.6971,-53.4616,58.28,85,94,10.94,overcast clouds
144,Albany,US,42.6001,-73.9662,60.78,86,75,3.36,broken clouds
145,Georgetown,MY,5.4112,100.3354,77.9,97,40,2.3,light rain
146,Barvinkove,UA,48.9097,37.0205,46.36,77,61,6.33,broken clouds
147,Santa Fe,AR,-31.6333,-60.7,74.01,35,100,8.99,overcast clouds
148,Hualahuises,MX,24.8847,-99.6733,80.44,52,82,2.44,broken clouds
149,Uusikaupunki,FI,60.8004,21.4084,56.25,91,100,21.27,overcast clouds
150,Margate,GB,51.3813,1.3862,54.3,75,4,4.0,clear sky
151,Galatas,GR,37.4962,23.4489,67.87,53,0,20.0,clear sky
152,Malazgirt,TR,39.1427,42.5401,62.17,27,96,3.44,overcast clouds
153,Dikson,RU,73.5069,80.5464,29.97,79,95,9.31,overcast clouds
154,Lengede,DE,52.2049,10.3078,64.94,70,19,8.01,few clouds
155,Leshukonskoye,RU,64.8989,45.7622,44.8,97,100,3.18,overcast clouds
156,Nizhniy Odes,RU,63.6445,54.856,41.4,96,100,6.17,light rain
157,Manono,CD,-7.3,27.4167,75.02,59,51,3.74,broken clouds
158,Quatre Cocos,MU,-20.2078,57.7625,69.91,74,82,13.2,broken clouds
159,Bitkine,TD,11.9801,18.2138,78.35,75,64,7.11,broken clouds
160,Atar,MR,20.5169,-13.0499,93.83,15,38,11.72,scattered clouds
161,Alice Town,BS,25.7167,-79.3,79.7,68,8,13.73,clear sky
162,Inndyr,NO,67.0338,14.0276,48.24,85,100,11.3,light rain
163,Dudinka,RU,69.4058,86.1778,27.66,93,100,4.52,overcast clouds
164,Mwandiga,TZ,-4.83,29.6581,76.01,46,60,4.83,broken clouds
165,Acajutla,SV,13.5928,-89.8275,82.49,71,97,2.1,overcast clouds
166,Kaduna,NG,10.5222,7.4383,70.7,88,100,3.56,overcast clouds
167,Damaturu,NG,11.747,11.9608,80.82,58,34,7.23,scattered clouds
168,Calamar,CO,10.2511,-74.9146,79.52,86,100,6.17,overcast clouds
169,Ikalamavony,MG,-21.15,46.5833,62.73,47,0,5.82,clear sky
170,Feijo,BR,-8.1642,-70.3536,79.95,69,77,2.08,broken clouds
171,Kamenka,RU,51.3223,42.7678,46.62,85,83,10.51,broken clouds
172,Varhaug,NO,58.6147,5.6457,54.9,79,84,13.87,broken clouds
173,Port Antonio,JM,18.18,-76.4612,85.91,81,27,3.02,scattered clouds
174,Taunggyi,MM,20.7833,97.0333,59.45,94,8,1.01,clear sky
175,Valparaiso,CL,-33.0393,-71.6273,61.03,86,0,9.22,clear sky
176,Bahia Honda,CU,22.9036,-83.1592,77.54,77,25,6.71,scattered clouds
177,Wadi Maliz,TN,36.4681,8.5495,71.26,65,16,1.97,few clouds
178,Hamilton,US,39.1834,-84.5333,76.77,38,0,4.61,clear sky
179,Juba,SS,4.8517,31.5825,69.3,91,83,1.97,broken clouds
180,Lypova Dolyna,UA,50.5643,33.7979,47.17,92,100,6.67,light rain
181,Mastic Beach,US,40.7668,-72.8521,61.0,96,100,8.01,overcast clouds
182,Saint-Augustin,CA,51.226,-58.6502,51.39,90,68,8.93,broken clouds
