City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
61,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
64,Humaita,BR,87.44,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
65,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
67,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
68,Lodwar,KE,85.95,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
71,Kismayo,SO,76.69,broken clouds,-0.3582,42.5454,Agan-Hotel
72,Kavaratti,IN,80.69,broken clouds,10.5669,72.642,Green leaf
73,Victoria,HK,82.45,broken clouds,22.2855,114.1577,Mini Central
74,Owando,CG,72.82,light rain,-0.4819,15.8999,Exaunel Hotel Owando
75,East London,ZA,64.89,overcast clouds,-33.0153,27.9116,Tu Casa
76,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
81,Pontes E Lacerda,BR,83.57,scattered clouds,-15.2261,-59.3353,Hotel Bressan
83,Palmares Do Sul,BR,63.0,overcast clouds,-30.2578,-50.5097,Hotel Campos Dourados.
84,Maua,BR,64.44,scattered clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
92,Marquard,ZA,64.53,scattered clouds,-28.6645,27.4305,Le Cheri Country Guesthouse
94,Sibolga,ID,74.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
95,Bafoulabe,ML,79.95,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
97,Muscle Shoals,US,84.25,clear sky,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
99,Itaporanga,BR,88.88,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
100,Abu Dhabi,AE,87.82,few clouds,24.4667,54.3667,Beach Rotana
101,Bemidji,US,70.18,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
105,Beroroha,MG,77.04,clear sky,-21.6667,45.1667,
106,Lavra,PT,66.2,clear sky,41.2594,-8.7185,Park Hotel Porto Aeroporto
108,Beloit,US,74.98,overcast clouds,42.5084,-89.0318,Best Western Legacy Inn & Suites Beloit-South Beloit
112,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Moultonborough,US,61.14,overcast clouds,43.7548,-71.3967,Moultonborough Inn
114,Tambopata,PE,80.49,clear sky,-12.7333,-69.1833,Enashawa Lodge
115,Senekal,ZA,64.13,few clouds,-28.3197,27.6208,Hendersons Lodge
117,Abu Samrah,SY,69.8,clear sky,35.3029,37.1841,
121,Tripoli,LY,73.49,clear sky,32.8752,13.1875,Al Waddan Hotel
122,Sydney,AU,60.64,light intensity shower rain,-33.8679,151.2073,The Grace Sydney
124,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
128,Sinjar,IQ,79.41,clear sky,36.3209,41.8754,زوماني فون 1
130,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
133,Prieska,ZA,69.31,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
134,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
140,Saraland,US,83.12,scattered clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
141,Nuevitas,CU,79.0,broken clouds,21.5453,-77.2644,Hotel Caonaba
142,Fort Smith,US,87.84,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
144,Albany,US,60.78,broken clouds,42.6001,-73.9662,
145,Georgetown,MY,77.9,light rain,5.4112,100.3354,Cititel Penang
147,Santa Fe,AR,74.01,overcast clouds,-31.6333,-60.7,Conquistador Hotel
148,Hualahuises,MX,80.44,broken clouds,24.8847,-99.6733,Cabaña hualahuises
151,Galatas,GR,67.87,clear sky,37.4962,23.4489,New Aegli Resort Hotel
152,Malazgirt,TR,62.17,overcast clouds,39.1427,42.5401,malazgirt otel
154,Lengede,DE,64.94,few clouds,52.2049,10.3078,Landhaus Lengede
157,Manono,CD,75.02,broken clouds,-7.3,27.4167,Hotel hewa bora
